Customer ID;Age;Gender;Location;Subscription Status;Previous Purchases;Preferred Payment Method;Frequency of Purchases
5066;29;Male;Virginia;Yes;4;Credit Card;Weekly
5550;54;Male;Nebraska;Yes;42;Credit Card;Bi-Weekly
4844;25;Male;Hawaii;Yes;30;Cash;Annually
3733;41;Male;Vermont;Yes;37;Venmo;Annually
5565;53;Male;Oklahoma;Yes;2;Bank Transfer;Annually
1821;53;Male;New Hampshire;Yes;30;Credit Card;Quarterly
9402;21;Male;Kansas;Yes;47;Bank Transfer;Monthly
3898;61;Male;Idaho;Yes;99999;PayPal;Quarterly
9073;64;Male;Illinois;Yes;9;Bank Transfer;Fortnightly
8992;51;Male;South Dakota;Yes;12;Debit Card;Fortnightly
7464;32;Male;Massachusetts;Yes;4;Bank Transfer;Weekly
3631;38;Male;Alabama;Yes;10;Debit Card;Annually
3961;58;Male;Ohio;Yes;26;Credit Card;Weekly
2689;32;Male;Hawaii;Yes;40;Cash;Fortnightly
7206;46;Male;Wisconsin;Yes;34;Bank Transfer;Fortnightly
6633;39;Male;Minnesota;Yes;31;Debit Card;Annually
5464;19;Male;Georgia;Yes;1;Bank Transfer;Bi-Weekly
6377;50;Male;Arkansas;Yes;5;Bank Transfer;Bi-Weekly
9621;36;Male;West Virginia;Yes;4;Credit Card;Weekly
3032;65;Male;Indiana;Yes;48;Venmo;Quarterly
5135;64;Male;Utah;Yes;29;Cash;Every 3 Months
1717;46;Male;Nebraska;Yes;12;PayPal;Bi-Weekly
7327;36;Male;North Dakota;Yes;29;Venmo;Annually
5925;51;Male;Missouri;Yes;15;Debit Card;Quarterly
4684;51;Male;New York;Yes;34;Credit Card;Monthly
2625;38;Male;Washington;Yes;41;Credit Card;Fortnightly
5347;59;Male;South Carolina;Yes;41;Credit Card;Monthly
6663;57;Male;Utah;Yes;39;Credit Card;Fortnightly
7435;54;Male;Idaho;Yes;32;Cash;Weekly
4491;25;Male;Pennsylvania;Yes;29;Venmo;Monthly
5403;69;Male;Missouri;Yes;15;Bank Transfer;Annually
5213;57;Male;Nebraska;Yes;33;Venmo;Annually
7731;70;Male;Indiana;Yes;18;Bank Transfer;Weekly
9037;24;Male;Arizona;Yes;35;Cash;Bi-Weekly
6772;67;Male;Hawaii;Yes;25;PayPal;Weekly
4181;24;Male;Wisconsin;Yes;6;Venmo;Fortnightly
3881;62;Male;Rhode Island;Yes;17;Bank Transfer;Bi-Weekly
2367;57;Male;Wisconsin;Yes;17;Credit Card;Monthly
4110;55;Male;Minnesota;Yes;44;Cash;Every 3 Months
9391;45;Male;Vermont;Yes;6;PayPal;Fortnightly
8585;69;Male;South Dakota;Yes;45;Debit Card;Fortnightly
3803;67;Male;Virginia;Yes;7;Debit Card;Annually
3193;30;Male;Nevada;Yes;11;Debit Card;Every 3 Months
5160;24;Male;Hawaii;Yes;41;Cash;Every 3 Months
1860;62;Male;New Jersey;Yes;24;PayPal;Bi-Weekly
4113;43;Male;Massachusetts;Yes;21;Venmo;Weekly
7534;35;Male;Oklahoma;Yes;24;Bank Transfer;Annually
1242;28;Male;California;Yes;8;Credit Card;Quarterly
8915;32;Male;Nevada;Yes;12;Cash;Fortnightly
3771;39;Male;Arizona;Yes;48;Debit Card;Fortnightly
4172;28;Male;North Carolina;Yes;6;Bank Transfer;Quarterly
4192;47;Male;New York;Yes;14;PayPal;Fortnightly
7552;20;Male;Wyoming;Yes;34;PayPal;Annually
6217;63;Male;South Dakota;Yes;12;Cash;Every 3 Months
7116;25;Male;Arkansas;Yes;11;Bank Transfer;Annually
9777;29;Male;Texas;Yes;5;PayPal;Monthly
8600;50;Male;Rhode Island;Yes;25;Venmo;Fortnightly
6567;18;Male;New Hampshire;Yes;11;Credit Card;Annually
6845;70;Male;Ohio;Yes;27;PayPal;Every 3 Months
1232;66;Male;Utah;Yes;43;Credit Card;Annually
1300;28;Male;Tennessee;Yes;18;Debit Card;Every 3 Months
7287;54;Male;Hawaii;Yes;32;Bank Transfer;Bi-Weekly
5342;19;Male;Arizona;Yes;27;Bank Transfer;Every 3 Months
6406;20;Male;South Dakota;Yes;24;Credit Card;Weekly
8049;43;Male;New Jersey;Yes;31;Debit Card;Quarterly
4718;38;Male;North Dakota;Yes;39;PayPal;Fortnightly
5812;50;Male;Iowa;Yes;36;Debit Card;Fortnightly
3213;64;Male;Ohio;Yes;5;Cash;Annually
4371;49;Male;Vermont;Yes;47;Credit Card;Bi-Weekly
4502;47;Male;Montana;Yes;99999;Bank Transfer;Fortnightly
2332;36;Male;Delaware;Yes;43;Venmo;Bi-Weekly
6457;55;Male;New York;Yes;40;Debit Card;Every 3 Months
6282;25;Male;Kentucky;Yes;4;Debit Card;Monthly
3515;53;Male;Oregon;Yes;39;PayPal;Weekly
5987;49;Male;Rhode Island;Yes;45;Venmo;Fortnightly
8149;35;Male;Nevada;Yes;20;Venmo;Bi-Weekly
9296;29;Male;Montana;Yes;14;Debit Card;Weekly
3710;47;Male;Pennsylvania;Yes;33;PayPal;Weekly
3867;53;Male;Alaska;Yes;18;Credit Card;Annually
3015;33;Male;Mississippi;Yes;99999;Bank Transfer;Weekly
7844;21;Male;Wyoming;Yes;34;PayPal;Annually
8780;32;Male;Delaware;Yes;33;Venmo;Fortnightly
8916;52;Male;Oklahoma;Yes;15;Bank Transfer;Bi-Weekly
2564;67;Male;Indiana;Yes;4;PayPal;Bi-Weekly
1438;43;Male;Maryland;Yes;25;Debit Card;Annually
6072;58;Male;South Dakota;Yes;99999;Credit Card;Every 3 Months
2069;20;Male;West Virginia;Yes;5;Credit Card;Quarterly
5626;61;Male;Alabama;Yes;16;Cash;Quarterly
3683;32;Male;Louisiana;Yes;13;Debit Card;Annually
1778;38;Male;Montana;Yes;11;Credit Card;Every 3 Months
1033;21;Male;California;Yes;21;Credit Card;Annually
3166;37;Male;Hawaii;Yes;6;Debit Card;Annually
2718;27;Male;Iowa;Yes;29;Venmo;Monthly
3964;36;Male;Colorado;Yes;15;Cash;Annually
1006;32;Male;Michigan;Yes;17;Bank Transfer;Bi-Weekly
5965;51;Male;Louisiana;Yes;32;Credit Card;Weekly
9311;64;Male;Maryland;Yes;42;Venmo;Annually
7217;68;Male;Georgia;Yes;21;Cash;Monthly
2572;68;Male;Georgia;Yes;9;Cash;Bi-Weekly
6697;33;Male;North Dakota;Yes;16;Bank Transfer;Annually
9435;65;Male;Maryland;Yes;42;Credit Card;Fortnightly
3974;48;Male;Oregon;Yes;37;Debit Card;Bi-Weekly
8529;69;Male;North Dakota;Yes;32;Debit Card;Quarterly
5055;59;Male;Maryland;Yes;28;Cash;Bi-Weekly
1848;48;Male;Virginia;Yes;13;Credit Card;Weekly
7670;25;Male;South Dakota;Yes;11;Bank Transfer;Fortnightly
8945;29;Male;Georgia;Yes;36;Bank Transfer;Bi-Weekly
4833;57;Male;Hawaii;Yes;23;Debit Card;Annually
1292;23;Male;Arkansas;Yes;37;Bank Transfer;Monthly
6053;45;Male;Montana;Yes;21;Cash;Bi-Weekly
5644;38;Male;Oklahoma;Yes;22;Debit Card;Bi-Weekly
2993;21;Male;Minnesota;Yes;9;Cash;Monthly
4616;32;Male;Montana;Yes;16;Venmo;Annually
7746;63;Male;Ohio;Yes;4;PayPal;Quarterly
2050;29;Male;Kentucky;Yes;3;Debit Card;Bi-Weekly
3219;27;Male;Nebraska;Yes;6;Debit Card;Annually
3264;56;Male;Delaware;Yes;18;Venmo;Fortnightly
8689;30;Male;North Carolina;Yes;99999;Venmo;Bi-Weekly
4806;49;Male;New York;Yes;26;Credit Card;Monthly
2735;58;Male;Colorado;Yes;50;PayPal;Weekly
8988;57;Male;Delaware;Yes;40;Bank Transfer;Monthly
9534;60;Male;Utah;Yes;24;Cash;Quarterly
5047;69;Male;Connecticut;Yes;33;PayPal;Annually
9023;70;Male;New Jersey;Yes;19;Credit Card;Every 3 Months
6298;53;Male;West Virginia;Yes;24;Credit Card;Quarterly
6209;25;Male;Indiana;Yes;19;Credit Card;Weekly
1403;48;Male;Delaware;Yes;4;Credit Card;Bi-Weekly
5020;69;Male;Maryland;Yes;11;Venmo;Every 3 Months
4223;25;Male;Pennsylvania;Yes;28;PayPal;Fortnightly
3888;29;Male;Iowa;Yes;24;PayPal;Weekly
4094;46;Male;Pennsylvania;Yes;25;Credit Card;Every 3 Months
2469;37;Male;Delaware;Yes;99999;Bank Transfer;Every 3 Months
5659;20;Male;Oregon;Yes;99999;Venmo;Weekly
3378;40;Male;Oregon;Yes;45;Credit Card;Bi-Weekly
3121;60;Male;Utah;Yes;26;PayPal;Annually
2767;26;Male;North Dakota;Yes;4;Cash;Annually
9744;29;Male;Florida;Yes;3;Credit Card;Every 3 Months
1568;66;Male;Maryland;Yes;45;Venmo;Bi-Weekly
5919;66;Male;Minnesota;Yes;21;Cash;Fortnightly
1823;56;Male;Montana;Yes;50;Cash;Fortnightly
4609;69;Male;Rhode Island;Yes;19;Bank Transfer;Monthly
9358;38;Male;Massachusetts;Yes;6;PayPal;Annually
8730;42;Male;Vermont;Yes;50;Credit Card;Every 3 Months
8072;30;Male;New Jersey;Yes;99999;Debit Card;Every 3 Months
8949;66;Male;Wisconsin;Yes;24;Debit Card;Annually
5833;36;Male;California;Yes;46;Venmo;Monthly
5794;58;Male;West Virginia;Yes;42;Cash;Every 3 Months
4712;45;Male;South Dakota;Yes;10;Cash;Annually
8216;47;Male;Maine;Yes;1;Cash;Every 3 Months
1686;66;Male;Kansas;Yes;28;Debit Card;Quarterly
2073;41;Male;Vermont;Yes;48;Debit Card;Quarterly
2397;41;Male;Tennessee;Yes;99999;Credit Card;Monthly
3659;66;Male;Tennessee;Yes;29;PayPal;Bi-Weekly
2369;37;Male;Wyoming;Yes;37;Venmo;Quarterly
3972;70;Male;Vermont;Yes;38;Debit Card;Annually
4416;62;Male;New Jersey;Yes;48;Bank Transfer;Weekly
7715;61;Male;Iowa;Yes;36;PayPal;Weekly
8816;48;Male;Florida;Yes;9;Credit Card;Weekly
4399;70;Male;Nevada;Yes;34;Bank Transfer;Monthly
3116;46;Male;North Dakota;Yes;43;Venmo;Bi-Weekly
7554;31;Male;Florida;Yes;46;PayPal;Quarterly
8375;19;Male;New York;Yes;5;Credit Card;Monthly
9692;39;Male;Alaska;Yes;15;Bank Transfer;Bi-Weekly
5103;41;Male;Kansas;Yes;30;Credit Card;Annually
6366;20;Male;Oregon;Yes;44;Venmo;Every 3 Months
4132;36;Male;Rhode Island;Yes;16;PayPal;Annually
3420;32;Male;New Mexico;Yes;16;Bank Transfer;Annually
8811;69;Male;Massachusetts;Yes;16;Cash;Weekly
1240;40;Male;Pennsylvania;Yes;21;Credit Card;Every 3 Months
5396;40;Male;New Jersey;Yes;39;Venmo;Every 3 Months
5814;20;Male;Utah;Yes;40;Debit Card;Bi-Weekly
2206;64;Male;Kentucky;Yes;48;Credit Card;Every 3 Months
7068;27;Male;Nebraska;Yes;26;Venmo;Monthly
4717;24;Male;Virginia;Yes;46;Debit Card;Monthly
1899;48;Male;Wyoming;Yes;27;Bank Transfer;Annually
5400;49;Male;New Mexico;Yes;5;Cash;Weekly
6227;36;Male;Oregon;Yes;43;PayPal;Fortnightly
7401;56;Male;South Carolina;Yes;17;PayPal;Fortnightly
2278;37;Male;Arizona;Yes;3;Bank Transfer;Bi-Weekly
1181;42;Male;Kentucky;Yes;47;Bank Transfer;Fortnightly
4191;28;Male;New York;Yes;24;Debit Card;Bi-Weekly
9548;27;Male;Texas;Yes;99999;Cash;Every 3 Months
1029;63;Male;Missouri;Yes;99999;Debit Card;Monthly
2618;58;Male;Pennsylvania;Yes;42;Venmo;Weekly
1446;37;Male;Oregon;Yes;1;PayPal;Every 3 Months
8543;56;Male;Nevada;Yes;27;Cash;Weekly
3065;18;Male;Arkansas;Yes;16;Credit Card;Bi-Weekly
5511;48;Male;Minnesota;Yes;36;Credit Card;Every 3 Months
2105;31;Male;Georgia;Yes;30;Credit Card;Every 3 Months
1615;51;Male;Rhode Island;Yes;18;Debit Card;Fortnightly
8298;65;Male;Nevada;Yes;45;Cash;Annually
8743;53;Male;Texas;Yes;1;Venmo;Fortnightly
6954;55;Male;Florida;Yes;42;Bank Transfer;Fortnightly
8836;62;Male;North Dakota;Yes;7;Venmo;Every 3 Months
3895;55;Male;West Virginia;Yes;50;PayPal;Quarterly
7991;64;Male;Nebraska;Yes;37;Venmo;Fortnightly
7249;52;Male;Tennessee;Yes;18;Bank Transfer;Monthly
4847;24;Male;Oklahoma;Yes;29;Cash;Monthly
9603;38;Male;Wisconsin;Yes;45;PayPal;Quarterly
4836;59;Male;Oregon;Yes;13;PayPal;Weekly
2635;27;Male;North Carolina;Yes;47;PayPal;Monthly
1555;24;Male;Pennsylvania;Yes;7;Debit Card;Weekly
6525;23;Male;North Dakota;Yes;11;Venmo;Bi-Weekly
8378;69;Male;Ohio;Yes;39;Bank Transfer;Monthly
9614;59;Male;Oklahoma;Yes;6;Debit Card;Quarterly
2728;51;Male;South Carolina;Yes;2;Venmo;Bi-Weekly
8445;63;Male;Maine;Yes;39;Credit Card;Every 3 Months
5585;54;Male;Nevada;Yes;23;Credit Card;Monthly
3741;32;Male;Montana;Yes;46;Debit Card;Bi-Weekly
6778;39;Male;New Hampshire;Yes;19;Bank Transfer;Weekly
9570;66;Male;Maine;Yes;3;Credit Card;Every 3 Months
2128;28;Male;California;Yes;47;PayPal;Quarterly
4019;50;Male;West Virginia;Yes;6;PayPal;Quarterly
6492;70;Male;California;Yes;6;Venmo;Annually
6551;67;Male;West Virginia;Yes;12;Credit Card;Bi-Weekly
3379;64;Male;Louisiana;Yes;40;PayPal;Quarterly
7491;45;Male;Georgia;Yes;38;PayPal;Fortnightly
8806;22;Male;Washington;Yes;10;PayPal;Quarterly
9046;27;Male;Virginia;Yes;28;Bank Transfer;Monthly
6867;25;Male;Indiana;Yes;19;PayPal;Annually
2678;37;Male;Minnesota;Yes;25;Cash;Fortnightly
2062;26;Male;Idaho;Yes;38;Credit Card;Annually
5203;33;Male;Vermont;Yes;6;PayPal;Fortnightly
3705;43;Male;North Dakota;Yes;7;Debit Card;Bi-Weekly
3751;37;Male;Rhode Island;Yes;2;PayPal;Annually
7132;46;Male;South Carolina;Yes;24;Bank Transfer;Annually
8567;22;Male;Mississippi;Yes;99999;Cash;Annually
5846;20;Male;Montana;Yes;25;Debit Card;Every 3 Months
5623;60;Male;Idaho;Yes;99999;Debit Card;Monthly
6610;39;Male;Utah;Yes;14;PayPal;Fortnightly
2285;43;Male;Oklahoma;Yes;21;Cash;Quarterly
3594;31;Male;California;Yes;26;PayPal;Monthly
6802;19;Male;Nevada;Yes;99999;Bank Transfer;Annually
9899;35;Male;Delaware;Yes;11;Credit Card;Monthly
6473;41;Male;South Carolina;Yes;15;Cash;Annually
5274;52;Male;Maryland;Yes;13;Cash;Monthly
3260;45;Male;North Carolina;Yes;5;Credit Card;Bi-Weekly
7855;34;Male;Alabama;Yes;36;Cash;Fortnightly
8284;35;Male;Minnesota;Yes;32;Bank Transfer;Monthly
5078;29;Male;Virginia;Yes;1;Credit Card;Quarterly
5778;59;Male;Michigan;Yes;15;PayPal;Annually
3629;24;Male;Maine;Yes;3;Bank Transfer;Weekly
5635;70;Male;Nevada;Yes;48;Cash;Monthly
7176;29;Male;Wyoming;Yes;30;Debit Card;Weekly
1816;67;Male;Connecticut;Yes;40;Bank Transfer;Monthly
2313;36;Male;Oregon;Yes;24;Bank Transfer;Fortnightly
2894;23;Male;Mississippi;Yes;48;Debit Card;Quarterly
1379;18;Male;Illinois;Yes;27;Venmo;Bi-Weekly
2035;53;Male;Utah;Yes;14;Credit Card;Every 3 Months
8995;32;Male;North Carolina;Yes;99999;Debit Card;Bi-Weekly
4287;38;Male;Kentucky;Yes;48;Cash;Bi-Weekly
1187;47;Male;Minnesota;Yes;32;Debit Card;Annually
1956;46;Male;New York;Yes;21;Credit Card;Bi-Weekly
1604;66;Male;Illinois;Yes;42;PayPal;Fortnightly
2464;40;Male;North Dakota;Yes;4;Credit Card;Quarterly
6901;43;Male;Louisiana;Yes;19;Credit Card;Quarterly
7902;58;Male;Illinois;Yes;6;Credit Card;Quarterly
2351;21;Male;Wyoming;Yes;2;Debit Card;Fortnightly
6051;42;Male;Washington;Yes;21;Cash;Fortnightly
9753;24;Male;Texas;Yes;40;Debit Card;Annually
9119;43;Male;New Hampshire;Yes;33;Cash;Fortnightly
3179;47;Male;Indiana;Yes;26;Venmo;Weekly
8853;49;Male;Alabama;Yes;23;Credit Card;Fortnightly
1893;50;Male;Oklahoma;Yes;39;PayPal;Every 3 Months
7137;51;Male;Montana;Yes;42;Bank Transfer;Monthly
8387;40;Male;Tennessee;Yes;41;Bank Transfer;Weekly
5326;45;Male;New Mexico;Yes;41;PayPal;Annually
7281;52;Male;Iowa;Yes;12;Credit Card;Fortnightly
7059;62;Male;Idaho;Yes;31;Cash;Monthly
5988;20;Male;Oklahoma;Yes;34;Debit Card;Fortnightly
8151;43;Male;Florida;Yes;32;Credit Card;Annually
2626;29;Male;Michigan;Yes;31;Credit Card;Quarterly
8843;22;Male;Hawaii;Yes;24;PayPal;Annually
